Title,Genre,Type,Score
Breaking Bad,Drama,Show,9.5
Shawshank Redemption,Drama,Movie,9.3
Chernobyl,Drama,Show,9.3
Game of Thrones,Drama,Show,9.2
Attack on Titan,Anime,Anime,9.1
Sherlock,Crime,Show,9.1
Fullmetal Alchemist: Brotherhood,Anime,Anime,9.1
Better Call Saul,Drama,Show,9
The Office,Comedy,Show,9
One Piece,Anime,Anime,9
Arcane,Action,Anime,9
The Dark Knight,Action,Movie,9
Pulp Fiction,Crime,Movie,8.9
Frieren: Beyond Journey's End,Anime,Anime,8.9
Vinland Saga,Anime,Anime,8.8
Forest Gump,Drama,Movie,8.8
X-Men '97,Animation,Anime,8.8
Invincible,Animation,Show,8.7
The Last of Us,Drama,Show,8.7
Black Mirror,Drama,Show,8.7
1883,Western,Show,8.7
House,Drama,Show,8.7
Goodfellas,Crime,Movie,8.7
The Matrix,Sci-Fi,Movie,8.7
Narcos,Crime,Show,8.7
Naruto: Shippuden,Anime,Anime,8.7
Fleabag,Comedy,Show,8.7
One Punch Man,Anime,Anime,8.7
Primal,Animation,Show,8.7
Don't Hug Me I'm Scared,Horror,Show,8.7
Yellowstone,Drama,Show,8.7
Dexter,Crime,Show,8.6
Stranger Things,Sci-Fi,Show,8.6
The Boys,Superhero,Show,8.6
Demon Slayer,Anime,Anime,8.6
Shogun,Drama,Show,8.6
The Penguin,Crime,Show,8.6
Parks and Recreation,Comedy,Show,8.6
Mindhunter,Crime,Show,8.6
Spirited Away,Anime,Movie,8.6
Modern Family,Comedy,Show,8.5
Jujutsu Kaisen,Anime,Anime,8.5
Parasite,Thriller,Anime,8.5
The Last Kingdom,Action,Show,8.5
Django Unchained,Western,Movie,8.5
Whiplash,Drama,Movie,8.5
Hannibal,Horror,Show,8.5
Back to the Future,Sci-Fi,Movie,8.5
Mob Psycho 100,Anime,Anime,8.5
Kaguya-sama: Love is War,Anime,Anime,8.5
Supernatural,Drama,Show,8.4
Scrubs,Comedy,Show,8.4
Avengers: Endgame,Superhero,Movie,8.4
Avengers: Infinity War,Superhero,Movie,8.4
Dandadan,Anime,Anime,8.4
Spider-Man: Into the Spider-Verse,Superhero,Movie,8.4
Wall-E,Animation,Movie,8.4
Falllout,Action,Show,8.3
Barry,Comedy,Show,8.3
Joker,Thriller,Movie,8.3
Chainsaw Man,Anime,Anime,8.3
Peacemaker,Superhero,Show,8.3
Kaiju No. 8,Anime,Anime,8.3
Castlevania,Animation,Show,8.3
Parasyte: The Maxim,Anime,Anime,8.3
The Wild Robot,Animation,Movie,8.2
The Wolf of Wall Street,Crime,Show,8.2
Top Gun: Maverick,Action,Movie,8.2
My Hero Academia,Anime,Anime,8.2
White Collar,Crime,Show,8.2
No Country for Old Men,Western,Movie,8.2
Spider-Man: No Way Home,Superhero,Movie,8.2
Bleach,Anime,Anime,8.2
Batman Begins,Action,Movie,8.2
Green Book,Drama,Movie,8.2
1917,Action,Movie,8.2
Die Hard,Action,Movie,8.2
Downfall,Drama,Movie,8.2
Cunk on Britian,Comedy,Show,8.2
The Walking Dead,Drama,Show,8.1
Shrinking,Drama,Show,8.1
Pirates of the Caribbean: The Curse of the Black Pearl,Action,Movie,8.1
Gone Girl,Drama,Movie,8.1
How to Train your Dragon,Comedy,Movie,8.1
The Help,Action,Movie,8.1
Logan,Superhero,Movie,8.1
Spotlight,Crime,Movie,8.1
Cunk on Earth,Comedy,Show,8.1
Reacher,Action,Show,8
Wednesday,Drama,Show,8
Tulsa King,Drama,Show,8
The Martian,Sci-Fi,Movie,8
The Avengers,Superhero,Movie,8
The Incredibles,Superhero,Movie,8
Rurouni Kenshin,Anime,Anime,8
The Witcher,Action,Show,7.9
Knives Out,Drama,Movie,7.9
Gaurdans of the Galaxy,Superhero,Movie,7.9
Iron Man,Superhero,Movie,7.9
From,Horror,Show,7.8
You,Drama,Show,7.7
The Sandman,Superhero,Show,7.7
Sherlock Holmes,Crime,Movie,7.6
Mashle: Magic and Muscles,Anime,Anime,7.6
Just Mercy,Drama,Movie,7.6
John Wick,Action,Movie,7.5
Doctor Strange,Superhero,Movie,7.5
Castlevania: Nocturne,Animation,Show,7.5
Quiet on Set: The Dark Side of Kids TV,Drama,Show,7.5
Spider-Man,Superhero,Movie,7.4
Vikings: Valhalla,Drama,Show,7.4
Pirates of the Caribbean: Dead Man's Ches,Action,Movie,7.4
John Wick: Chapter 2,Action,Movie,7.4
Spider-Man: Homecoming,Superhero,Movie,7.4
Spider-Man: Far From Home,Superhero,Movie,7.4
Avengers: Age of Ultron,Superhero,Movie,7.3
Cunk on Life,Comedy,Show,7.3
NieR:Automata Ver1.1a,Anime,Anime,7.3
The Way of the Househusband,Anime,Anime,7.3
Don't Look Up,Comedy,Movie,7.2
I Am Legend,Action,Movie,7.2
Barbarians,Action,Show,7.2
Free guy,Comedy,Movie,7.1
Pirates of the Carribean: At World's End,Action,Movie,7.1
Iron Man 3,Superhero,Movie,7.1
Jeffrey Epstein: Filthy Rich,Drama,Show,7.1
Rush Hour,Comedy,Movie,7
Iron Man 2,Superhero,Movie,6.9
The Amazing Spider-Man,Superhero,Movie,6.9
Barbie,Comedy,Movie,6.8
Captain Marvel,Superhero,Movie,6.8
Rush Hour 2,Comedy,Movie,6.7
The Amazing Spider-Man 2,Superhero,Show,6.6
The Pale Blue Eye,Drama,Movie,6.6
Spider-Man 3,Superhero,Movie,6.3
Rush Hour 3,Comedy,Movie,6.2
Jingle All The Way,Comedy,Movie,5.8
Common Side Effects,Drama,Show,8.7
